Agency Name,Program Name,Populations Served,Agency Phone,Program Phone,Program Address 1,Program City,Program State,Program Zip,Program County,Program Region,Program Type Description,Program Category Description,Program Subcategory Description,Complete Address,lat,lon
WNY Independent Living Inc.,Benefits Advisement,Adults,(716)836-0822,(716)836-0822x162,3108 Main Street,Buffalo,NY,14214,Erie,Western New York,Advocacy/Support Services,Support,Self-Help,3108 Main Street Buffalo Erie NY US 14214,42.9492672223488,-78.8281684565888
WNY Independent Living Inc.,Life Coaching,Adults,(716)836-0822,(716)836-0822x162,3108 Main Street,Buffalo,NY,14214,Erie,Western New York,Advocacy/Support Services,Support,Self-Help,3108 Main Street Buffalo Erie NY US 14214,42.9492672223488,-78.8281684565888
WNY Independent Living Inc.,Living Room Crisis Center,Adults,(716)836-0822,(716)884-5216,327 Elm St.,Buffalo,NY,14203,Erie,Western New York,Crisis  Intervention,Emergency,Crisis,327 Elm St. Buffalo Erie NY US 14203,42.8895576876706,-78.867826068715
WNY Independent Living Inc.,OAHIIO MICA Outreach,Adults,(716)836-0822,(716)836-0822x111,3108 Main Street,Buffalo,NY,14214,Erie,Western New York,Advocacy/Support Services,Support,Self-Help,3108 Main Street Buffalo Erie NY US 14214,42.9492672223488,-78.8281684565888
WNY Independent Living Inc.,Work Support,Adults,(716)836-0822,(716)836-0822x162,3108 Main Street,Buffalo,NY,14214,Erie,Western New York,Assisted Competitive Employment,Support,Vocational,3108 Main Street Buffalo Erie NY US 14214,42.9492672223488,-78.8281684565888
Women and Children's Hospital of Buffalo,CHOB Child and Adolescent Psychiatric Clinic,Children Adolescents Adults,(716)859-5600,(716)859-5454,1028 Main Street,Buffalo,NY,14202-1102,Erie,Western New York,Clinic Treatment,Outpatient,Clinic Treatment,1028 Main Street Buffalo Erie NY US 14202-1102,42.9018593684211,-78.8692079473684
Adirondack Medical Center,physical health mental health,Adults,(518)891-4141,(518)897-2853,29 Church Street,Lake Placid,NY,12946,Essex,Central New York,Geriatric Demo Physical Health - Mental Health Integration,Support,Care Coordination,29 Church Street Lake Placid Essex NY US 12946,44.2672688,-73.9815381
Central New York Psychiatric Center,Adirondack Mental Health Unit,Adults,(315)765-3600,(518)891-1343,Route 86,Ray Brook,NY,12977-0110,Essex,Central New York,Prison-based Forensic Mental Health Units,Support,Forensics,Route 86 Ray Brook Essex NY US 12977-0110,44.2986109,-74.0754939
Essex County Community Services Board,crisis 2680,Adolescents Adults,(518)873-3670,(518)873-3670,7513 Court Street,Elizabethtown,NY,12932,Essex,Central New York,Crisis  Intervention,Emergency,Crisis,7513 Court Street Elizabethtown Essex NY US 12932,44.2130227,-73.5980282167827
Essex County Community Services Board,Essex County Community Services Board - HHCM,Adults,(518)873-3670,(518)873-3670,7513 Court Street,Elizabethtown,NY,12932-0008,Essex,Central New York,Health Home Care Management,Support,Care Coordination,7513 Court Street Elizabethtown Essex NY US 12932-0008,44.2130227,-73.5980282167827
Essex County Community Services Board,Essex County Community Services Board - HH NonMed CM,Adults,(518)873-3670,(518)873-3670,7513 Court Street,Elizabethtown,NY,12932-0008,Essex,Central New York,Health Home Non-Medicaid Care Management,Support,Care Coordination,7513 Court Street Elizabethtown Essex NY US 12932-0008,44.2130227,-73.5980282167827
Essex County Community Services Board,Essex County Mental Health Services,Children Adolescents Adults,(518)873-3670,(518)873-3670,7513 Court Street,Elizabethtown,NY,12932-0008,Essex,Central New York,Clinic Treatment,Outpatient,Clinic Treatment,7513 Court Street Elizabethtown Essex NY US 12932-0008,44.2130227,-73.5980282167827
Essex County Community Services Board,Transition Management,Adults,(518)873-3670,(518)873-3660,7513 Court Street,Elizabethtown,NY,12932,Essex,Central New York,Transition Management Services,Support,Care Coordination,7513 Court Street Elizabethtown Essex NY US 12932,44.2130227,-73.5980282167827
Families First of Essex County,Advocacy Support Services 1760,Children Adolescents Adults,(518)873-9544,(518)873-9544,196 Water St.,Elizabethtown,NY,12932,Essex,Central New York,Advocacy/Support Services,Support,Self-Help,196 Water St. Elizabethtown Essex NY US 12932,44.2172128,-73.5933049335952
Families First of Essex County,Families First in Essex County Inc.,Children Adolescents,(518)873-9544,(518)873-9544,196 Water Street,Elizabethtown,NY,12932,Essex,Central New York,Children's HCBS Waiver Individualized Care Coordination,Support,Care Coordination,196 Water Street Elizabethtown Essex NY US 12932,44.2172128,-73.5933049335952
Families First of Essex County,Family Support Children & Youth,Children Adolescents,(518)873-9544,(518)873-9544,196 Water Street,Elizabethtown,NY,12932,Essex,Central New York,Family Support Services - Children & Family,Support,General Support,196 Water Street Elizabethtown Essex NY US 12932,44.2172128,-73.5933049335952
Families First of Essex County,Health Home Care Management,Children Adolescents,(518)873-9544,(518)873-9544,196 Water Street,Elizabethtown,NY,12932,Essex,Central New York,Health Home Care Management,Support,Care Coordination,196 Water Street Elizabethtown Essex NY US 12932,44.2172128,-73.5933049335952
Families First of Essex County,Health Home Non-Medicaid Care Management,Children Adolescents,(518)873-9544,(518)873-9544,196 Water Street,Elizabethtown,NY,12932,Essex,Central New York,Health Home Non-Medicaid Care Management,Support,Care Coordination,196 Water Street Elizabethtown Essex NY US 12932,44.2172128,-73.5933049335952
Adirondack Medical Center,Colby Center Psychiatric Inpatient Unit,Adults,(518)891-4141,(518)891-4141,Lake Colby Drive,Saranac Lake,NY,12983,Franklin,Central New York,Inpatient Psychiatric Unit of a General Hospital,Inpatient,Inpatient Psychiatric Unit of a General Hospital,Lake Colby Drive Saranac Lake Franklin NY US 12983,44.33548,-74.139127
Citizen Advocates Inc. dba North Star Indust,Citizen Advocates Inc. dba North Star Ind. - HHCM,Adults,(518)483-1251,(518)483-1251,31 6th St,Malone,NY,12953,Franklin,Central New York,Health Home Care Management,Support,Care Coordination,31 6th St Malone Franklin NY US 12953,44.91126,-74.3698713536585
Citizen Advocates Inc. dba North Star Indust,Citizen Advocates Inc. dba North Star Ind. -  HH NonMed CM,Adults,(518)483-1251,(518)483-1251,31 6th St,Malone,NY,12953,Franklin,Central New York,Health Home Non-Medicaid Care Management,Support,Care Coordination,31 6th St Malone Franklin NY US 12953,44.91126,-74.3698713536585
Citizen Advocates Inc. dba North Star Indust,Clean Sweep/Micrographics,Not Reported,(518)483-1251,(518)483-8600,3076 State Route 11,Malone,NY,12953,Franklin,Central New York,Affirmative Business/Industry,Support,Vocational,3076 State Route 11 Malone Franklin NY US 12953,44.846052,-74.3425704781455
Citizen Advocates Inc. dba North Star Indust,Crimson Phoenix,Not Reported,(518)483-1251,(518)483-1689,81 Fort Covington Street,Malone,NY,12953,Franklin,Central New York,Psychosocial Club,Support,Self-Help,81 Fort Covington Street Malone Franklin NY US 12953,44.8515725,-74.301575
Citizen Advocates Inc. dba North Star Indust,Enhanced Mentor Program,Children Adolescents,(518)483-1251,(518)891-2319,70 Edgewood Road,Saranac Lake,NY,12983,Franklin,Central New York,Family Support Services - Children & Family,Support,General Support,70 Edgewood Road Saranac Lake Franklin NY US 12983,44.323645,-74.147173
Citizen Advocates Inc. dba North Star Indust,Franklin Academy High School,Children Adolescents,(518)483-1251,(518)481-6106,42 Huskie Lane,Malone,NY,12953,Franklin,Central New York,School Based Mental Health,Support,Education,42 Huskie Lane Malone Franklin NY US 12953,44.841416,-74.2788330943239
Citizen Advocates Inc. dba North Star Indust,Malone Mental Health Center,Children Adolescents Adults,(518)483-1251,(518)483-3261,31 6th Street,Malone,NY,12953-1246,Franklin,Central New York,Clinic Treatment,Outpatient,Clinic Treatment,31 6th Street Malone Franklin NY US 12953-1246,44.91126,-74.3698713536585
Citizen Advocates Inc. dba North Star Indust,Malone Middle School,Children Adolescents,(518)483-1251,(518)483-3261,7 Francis Street,Malone,NY,12953,Franklin,Central New York,School Based Mental Health,Support,Education,7 Francis Street Malone Franklin NY US 12953,44.8462499037818,-74.2969428508149
Citizen Advocates Inc. dba North Star Indust,Mountain Crest,Not Reported,(518)483-1251,(518)891-2549,43 River Street,Saranac Lake,NY,12983,Franklin,Central New York,Psychosocial Club,Support,Self-Help,43 River Street Saranac Lake Franklin NY US 12983,44.329497,-74.131279
Citizen Advocates Inc. dba North Star Indust,Ongoing Integrated Supported Employment Services,Children Adolescents Adults,(518)483-1251,(518)483-8600,3076 State Route 11,Malone,NY,12953,Franklin,Central New York,Ongoing Integrated Supported Employment Services,Support,Vocational,3076 State Route 11 Malone Franklin NY US 12953,44.846052,-74.3425704781455
Citizen Advocates Inc. dba North Star Indust,Saranac Lake Mental Health Center,Children Adolescents Adults,(518)483-1251,(518)891-5535,70 Edgewood Road,Saranac Lake,NY,12983-1537,Franklin,Central New York,Clinic Treatment,Outpatient,Clinic Treatment,70 Edgewood Road Saranac Lake Franklin NY US 12983-1537,44.323645,-74.147173
Citizen Advocates Inc. dba North Star Indust,School Program South,Children Adolescents,(518)483-1251,(518)891-5535,70 Edgewood Road,Saranac Lake,NY,12983,Franklin,Central New York,School Based Mental Health,Support,Education,70 Edgewood Road Saranac Lake Franklin NY US 12983,44.323645,-74.147173
Lakeside House Inc.,Another's Purpose,Adults,(518)891-0815,(518)891-0815,33 Riverside Drive,Saranac Lake,NY,12983,Franklin,Central New York,Self-Help Programs,Support,Self-Help,33 Riverside Drive Saranac Lake Franklin NY US 12983,44.3186046566249,-74.1250000562221
Mental Health Association of Franklin County,Advocacy Services,Adults,(518)521-3507,(518)521-3507,7 Pearl Street,Malone,NY,12953,Franklin,Central New York,Advocacy/Support Services,Support,Self-Help,7 Pearl Street Malone Franklin NY US 12953,44.84764396,-74.29042792
Mental Health Association of Franklin County,Outreach,Adolescents Adults,(518)521-3507,(518)521-3507,7 Pearl Street,Malone,NY,12953,Franklin,Central New York,Outreach,Support,General Support,7 Pearl Street Malone Franklin NY US 12953,44.84764396,-74.29042792
Mental Health Association of Franklin County,Peer Recovery Center,Adults,(518)521-3507,(518)521-3507,7 Pearl Street,Malone,NY,12953,Franklin,Central New York,Recovery Center,Support,Self-Help,7 Pearl Street Malone Franklin NY US 12953,44.84764396,-74.29042792
St. Regis Mohawk Tribal Council,Salmon River Central School,Children Adolescents,(518)358-3141x160,(518)358-9510,637 County Route 1,Fort Covington,NY,12937,Franklin,Central New York,School Based Mental Health,Support,Education,637 County Route 1 Fort Covington Franklin NY US 12937,44.9617099,-74.5196349
St. Regis Mohawk Tribal Council,St. Regis Mohawk School,Children Adolescents,(518)358-3141x160,(518)358-2763,385 Church Street,Akwesasne,NY,13655,Franklin,Central New York,School Based Mental Health,Support,Education,385 Church Street Akwesasne Franklin NY US 13655,44.972168,-74.668846
Cath Char Albany/Cath Char Fulton/Montgomery,MICA Non Medicaid Care Coordination,Adults,(518)762-8313,(518)762-8313x223,228 N. Perry Street,Johnstown,NY,12095,Fulton,Central New York,Non-Medicaid Care Coordination,Support,Care Coordination,228 N. Perry Street Johnstown Fulton NY US 12095,43.0133455,-74.3704915
Central New York Psychiatric Center,Hale Creek Mental Health Unit,Adults,(315)765-3600,(518)639-4117,279 Maloney Road,Johnstown,NY,12905,Fulton,Central New York,Prison-based Forensic Mental Health Units,Support,Forensics,279 Maloney Road Johnstown Fulton NY US 12905,43.01350105,-74.2982138963376
Fulton County Community Services Board,Fulton County Mental Health Clinic,Children Adolescents Adults,(518)773-3557,(518)773-3557,57 East Fulton Street,Gloversville,NY,12078,Fulton,Central New York,Crisis  Intervention,Emergency,Crisis,57 East Fulton Street Gloversville Fulton NY US 12078,43.0511272,-74.3425417959376
Fulton County Community Services Board,Fulton County Tele-Psychiatry Services to Fulton Co Jail,Adolescents Adults,(518)773-3557,(518)773-3557,57 E. Fulton Street,Gloversville,NY,12078,Fulton,Central New York,Outreach,Support,General Support,57 E. Fulton Street Gloversville Fulton NY US 12078,43.0511272,-74.3425417959376
Fulton Friendship House Inc.,Respite Services,Adults,(518)725-1512,(518)762-2294,462 North Perry St.,Johnstown,NY,12078,Fulton,Central New York,Respite Services,Support,General Support,462 North Perry St. Johnstown Fulton NY US 12078,43.0257735,-74.3669235367647
MHA of Fulton and Montgomery Counties,Affirmative Business - Johnstown,Adults,(518)762-5332,(518)736-1825,338 N. Comrie Avenue,Johnstown,NY,12095,Fulton,Central New York,Affirmative Business/Industry,Support,Vocational,338 N. Comrie Avenue Johnstown Fulton NY US 12095,43.0254945,-74.3568845921736
MHA of Fulton and Montgomery Counties,Fulton County After School Program,Children,(518)762-5332,(518)762-5332,307-309 Meadow Street,Johnstown,NY,12095,Fulton,Central New York,Family Support Services - Children & Family,Support,General Support,307-309 Meadow Street Johnstown Fulton NY US 12095,43.0002850408163,-74.3778711020408
MHA of Fulton and Montgomery Counties,Fulton County Transportation,Adults,(518)762-5332,(518)762-5332x103,307-309 Meadow Street,Johnstown,NY,12078,Fulton,Central New York,Transportation,Support,General Support,307-309 Meadow Street Johnstown Fulton NY US 12078,43.0002850408163,-74.3778711020408
MHA of Fulton and Montgomery Counties,Leisure Lounge,Adults,(518)762-5332,(518)762-5332x113,73 North Main Street,Gloversville,NY,12078,Fulton,Central New York,Drop In Centers,Support,Self-Help,73 North Main Street Gloversville Fulton NY US 12078,43.0525205454545,-74.3442292727273
MHA of Fulton and Montgomery Counties,Leisure Lounge,Adults,(518)762-5332,(518)762-5332x113,73 North Main Street,Gloversville,NY,12078,Fulton,Central New York,Outreach,Support,General Support,73 North Main Street Gloversville Fulton NY US 12078,43.0525205454545,-74.3442292727273
MHA of Fulton and Montgomery Counties,Ombudsman - Fulton County,Adults,(518)762-5332,(518)762-5332x113,307-309 Meadow Street,Johnstown,NY,12095,Fulton,Central New York,Advocacy/Support Services,Support,Self-Help,307-309 Meadow Street Johnstown Fulton NY US 12095,43.0002850408163,-74.3778711020408
MHA of Fulton and Montgomery Counties,Peer Advocate,Adults,(518)762-5332,(518)762-5332,307-309 Meadow Street,Johnstown,NY,12095,Fulton,Central New York,Advocacy/Support Services,Support,Self-Help,307-309 Meadow Street Johnstown Fulton NY US 12095,43.0002850408163,-74.3778711020408
MHA of Fulton and Montgomery Counties,Self-Help Transportation,Adults,(518)762-5332,(518)762-5332,307-309 Meadow Street,Johnstown,NY,12095,Fulton,Central New York,Self-Help Programs,Support,Self-Help,307-309 Meadow Street Johnstown Fulton NY US 12095,43.0002850408163,-74.3778711020408
NYS ARC Fulton County Chapter,ACE,Adults,(518)773-7931,(518)773-4646,465 N. Perry Street,Johnstown,NY,12095,Fulton,Central New York,Assisted Competitive Employment,Support,Vocational,465 N. Perry Street Johnstown Fulton NY US 12095,43.0268785,-74.3693236613749
NYS ARC Fulton County Chapter,Fulton County Supported Employment,Adults,(518)773-7931,(518)773-4646,465 North Perry Street,Johnstown,NY,12095,Fulton,Central New York,Assisted Competitive Employment,Support,Vocational,465 North Perry Street Johnstown Fulton NY US 12095,43.0268785,-74.3693236613749
NYS ARC Fulton County Chapter,OMH Supported Employment,Adults,(518)773-7931,(518)773-4646,465 North Perry Street,Johnstown,NY,12095,Fulton,Central New York,Ongoing Integrated Supported Employment Services,Support,Vocational,465 North Perry Street Johnstown Fulton NY US 12095,43.0268785,-74.3693236613749
NYS ARC Fulton County Chapter,TEP,Adults,(518)773-7931,(518)773-4646,465 North Perry St.,Johnstown,NY,12095,Fulton,Central New York,Transitional Employment Placement (TEP),Support,Vocational,465 North Perry St. Johnstown Fulton NY US 12095,43.0268785,-74.3693236613749
NYS ARC Fulton County Chapter,Transitional Business Model,Adults,(518)773-7931,(518)773-4646,465  North  Perry Street,Johnstown,NY,12095,Fulton,Central New York,Transitional Business Model,Support,Vocational,465  North  Perry Street Johnstown Fulton NY US 12095,43.0268785,-74.3693236613749
St. Mary's Healthcare,Fulton County Mental Health Clinic,Adults,(518)842-1900,(518)773-3531,57 East Fulton Street,Gloversville,NY,12078-3212,Fulton,Central New York,Clinic Treatment,Outpatient,Clinic Treatment,57 East Fulton Street Gloversville Fulton NY US 12078-3212,43.0511272,-74.3425417959376
St. Mary's Healthcare,STARSS Day Treatment Program,Adolescents,(518)842-1900,(518)842-1900,234 Lincoln Street,Gloversville,NY,12078-1935,Fulton,Central New York,Day Treatment,Outpatient,Day Treatment,234 Lincoln Street Gloversville Fulton NY US 12078-1935,43.0538608,-74.3632041876581
St. Mary's Healthcare,St. Mary's Healthcare PROS Fulton Co.,Adults,(518)842-1900,(518)841-7360,73 North Main Street,Gloversville,NY,12078-3044,Fulton,Central New York,Comprehensive PROS with Clinical Treatment,Outpatient,Personalized Recovery-Oriented Services,73 North Main Street Gloversville Fulton NY US 12078-3044,43.0525205454545,-74.3442292727273
The Family Counseling Center Inc.,Adventure By Choice,Children Adolescents,(518)725-4310,(518)725-4310,11-21 Broadway,Gloversville,NY,12078,Fulton,Central New York,Recreation and/or Fitness,Support,General Support,11-21 Broadway Gloversville Fulton NY US 12078,43.0488839848655,-74.3451164119955
The Family Counseling Center Inc.,Family Counseling Center Mental Health Clinic,Children Adolescents Adults,(518)725-4310,(518)725-4310,11-21 Broadway,Gloversville,NY,12078-3968,Fulton,Central New York,Clinic Treatment,Outpatient,Clinic Treatment,11-21 Broadway Gloversville Fulton NY US 12078-3968,43.0488839848655,-74.3451164119955
The Family Counseling Center Inc.,Family Support,Children Adolescents Adults,(518)725-4310,(518)725-4310,11-21 Broadway,Gloversville,NY,12078,Fulton,Central New York,Family Support Services - Children & Family,Support,General Support,11-21 Broadway Gloversville Fulton NY US 12078,43.0488839848655,-74.3451164119955
The Family Counseling Center Inc.,Forensic Case Management Services,Adults,(518)725-4310,(518)725-4310,2712 State Highway 29,Johnstown,NY,12095,Fulton,Central New York,Transition Management Services,Support,Care Coordination,2712 State Highway 29 Johnstown Fulton NY US 12095,43.018083656307,-74.3474437566914
The Family Counseling Center Inc.,Mobile Crisis / Respite,Children Adolescents,(518)725-4310,(518)725-4310,11-21 Broadway,Gloversville,NY,12078,Fulton,Central New York,Respite Services,Support,General Support,11-21 Broadway Gloversville Fulton NY US 12078,43.0488839848655,-74.3451164119955
The Family Counseling Center Inc.,Non-Medicaid Care Coordination,Children Adolescents,(518)725-4310,(518)725-4310,11-21 Broadway,Gloversville,NY,12078,Fulton,Central New York,Non-Medicaid Care Coordination,Support,Care Coordination,11-21 Broadway Gloversville Fulton NY US 12078,43.0488839848655,-74.3451164119955
Genesee County Mental Health Association,Advocacy Services,Adults,(585)344-2611,(585)344-2611,25 Liberty Street,Batavia,NY,14020,Genesee,Western New York,Advocacy/Support Services,Support,Self-Help,25 Liberty Street Batavia Genesee NY US 14020,42.9949285,-78.1792735
Genesee County Mental Health Association,Advocacy Services-Genesee,Adults,(585)344-2611,(585)344-2611,25 Liberty Street,Batavia,NY,14020,Genesee,Western New York,Advocacy/Support Services,Support,Self-Help,25 Liberty Street Batavia Genesee NY US 14020,42.9949285,-78.1792735
Genesee County Mental Health Association,Recovery Center,Adults,(585)344-2611,(585)344-2611,25 Liberty Street,Batavia,NY,14020,Genesee,Western New York,Recovery Center,Support,Self-Help,25 Liberty Street Batavia Genesee NY US 14020,42.9949285,-78.1792735
Genesee County Mental Health Association,Social Club,Adults,(585)344-2611,(585)344-2611,25 Liberty Street,Batavia,NY,14020,Genesee,Western New York,Psychosocial Club,Support,Self-Help,25 Liberty Street Batavia Genesee NY US 14020,42.9949285,-78.1792735
Genesee County Mental Health Association,Transportation,Adolescents Adults,(585)344-2611,(585)344-2611,25 Liberty Street,Batavia,NY,14020,Genesee,Western New York,Transportation,Support,General Support,25 Liberty Street Batavia Genesee NY US 14020,42.9949285,-78.1792735
Genesee County Mental Health Services,Child and Family Center,Children Adolescents Adults,(585)344-1421,(585)344-1421,5130 E. Main Street Road,Batavia,NY,14020-3433,Genesee,Western New York,Clinic Treatment,Outpatient,Clinic Treatment,5130 E. Main Street Road Batavia Genesee NY US 14020-3433,42.992899,-78.150907
Genesee County Mental Health Services,Day Opportunity Center,Adults,(585)344-1421,(585)344-1421,5130 E. Main Street Road,Batavia,NY,14020-3433,Genesee,Western New York,Continuing Day Treatment,Outpatient,Continuing Day Treatment,5130 E. Main Street Road Batavia Genesee NY US 14020-3433,42.992899,-78.150907
Genesee County Mental Health Services,Genesee County Crisis Intervention,Adults,(585)344-1421,(585)344-1421,5130 E. Main Street Road,Batavia,NY,14020,Genesee,Western New York,Crisis  Intervention,Emergency,Crisis,5130 E. Main Street Road Batavia Genesee NY US 14020,42.992899,-78.150907
Genesee County Mental Health Services,Genesee County MHS - HH CM,Adults,(585)344-1421,(585)344-1421,5130 E. Main Street Road,Batavia,NY,14020,Genesee,Western New York,Health Home Care Management,Support,Care Coordination,5130 E. Main Street Road Batavia Genesee NY US 14020,42.992899,-78.150907
Genesee County Mental Health Services,Genesee County MHS - HH Non- Med CM,Adults,(585)344-1421,(585)344-1421,5130 E. Main Street Road,Batavia,NY,14020,Genesee,Western New York,Health Home Non-Medicaid Care Management,Support,Care Coordination,5130 E. Main Street Road Batavia Genesee NY US 14020,42.992899,-78.150907
Genesee County Mental Health Services,Genesee County Multicultural Initiatives,Adults,(585)344-1421,(585)344-1421,5130 E. Main Street Road,Batavia,NY,14020,Genesee,Western New York,Multi-Cultural Initiative,Support,General Support,5130 E. Main Street Road Batavia Genesee NY US 14020,42.992899,-78.150907
Genesee County Mental Health Services,Genesee County Transportation,Not Reported,(585)344-1421,(716)344-1421,211 E. Main Street,Batavia,NY,14020,Genesee,Western New York,Transportation,Support,General Support,211 E. Main Street Batavia Genesee NY US 14020,42.9975972,-78.1807789
Genesee County Mental Health Services,Health  Home Care Management C&Y,Children Adolescents,(585)344-1421,(585)344-1421,5130 East Main Street,Batavia,NY,14020,Genesee,Western New York,Health Home Care Management,Support,Care Coordination,5130 East Main Street Batavia Genesee NY US 14020,42.997379,-78.181938
Genesee County Mental Health Services,Health Home Non Medicaid Care Management C&Y,Children Adolescents,(585)344-1421,(585)344-1421,5130 East Main Street,Batavia,NY,14020,Genesee,Western New York,Health Home Non-Medicaid Care Management,Support,Care Coordination,5130 East Main Street Batavia Genesee NY US 14020,42.997379,-78.181938
Genesee County Mental Health Services,Transitional Manager Services,Adults,(585)344-1421,(585)344-1421,5130 E. Main Street Road,Batavia,NY,14020,Genesee,Western New York,Transition Management Services,Support,Care Coordination,5130 E. Main Street Road Batavia Genesee NY US 14020,42.992899,-78.150907
Restoration Society Inc.,ACE Employment,Adults,(716)832-2141,(716)832-2141,220 E. Main Street,Batavia,NY,14020,Genesee,Western New York,Assisted Competitive Employment,Support,Vocational,220 E. Main Street Batavia Genesee NY US 14020,42.9969666585366,-78.1795762682927
Restoration Society Inc.,ACE Employment Services - Genesee,Not Reported,(716)832-2141,(716)832-2141,220 E. Main Street,Batavia,NY,14020,Genesee,Western New York,Ongoing Integrated Supported Employment Services,Support,Vocational,220 E. Main Street Batavia Genesee NY US 14020,42.9969666585366,-78.1795762682927
Restoration Society Inc.,Bridge,Adults,(716)832-2141,(716)832-2141,220 Main St,Batavia,NY,14020,Genesee,Western New York,Advocacy/Support Services,Support,Self-Help,220 Main St Batavia Genesee NY US 14020,42.998142,-78.187666
YWCA of Genesee Inc.,Advocacy/Crisis Hotline,Adults,(585)343-5808,(585)343-5808,301 North St.,Batavia,NY,14020,Genesee,Western New York,Advocacy/Support Services,Support,Self-Help,301 North St. Batavia Genesee NY US 14020,43.0040745,-78.17324307625
Capital District Psychiatric Center,Capital District PC @ MHA Columbia-Greene  -  HHCM,Adults,(518)549-6000,(518)828-4619x342,30 W. Bridge Street,Catskill,NY,12414,Greene,Hudson River,Health Home Care Management,Support,Care Coordination,30 W. Bridge Street Catskill Greene NY US 12414,42.2170302631579,-73.8689938947368
Mental Health Assoc/Columbia-Greene Cos. Inc,Community Based Prevention,Children Adolescents,(518)828-4619,(518)828-4619x202,371 Main Street,Catskill,NY,12414,Greene,Hudson River,Respite Services,Support,General Support,371 Main Street Catskill Greene NY US 12414,42.218576,-73.865378
Mental Health Assoc/Columbia-Greene Cos. Inc,Consumer Movement - Greene Co.,Not Reported,(518)828-4619,(518)828-4619,126 Water Street,Catskill,NY,12414,Greene,Hudson River,Self-Help Programs,Support,Self-Help,126 Water Street Catskill Greene NY US 12414,42.2185357209302,-73.8662560697674
Mental Health Assoc/Columbia-Greene Cos. Inc,CYFSS,Children,(518)828-4619,(518)828-4619x202,371 Main Street,Catskill,NY,12414,Greene,Hudson River,Family Support Services - Children & Family,Support,General Support,371 Main Street Catskill Greene NY US 12414,42.218576,-73.865378
Mental Health Assoc/Columbia-Greene Cos. Inc,Firehouse PROS,Adults,(518)828-4619,(518)943-0184x34,30 West Bridge Street,Catskill,NY,12414-1620,Greene,Hudson River,Comprehensive PROS with Clinical Treatment,Outpatient,Personalized Recovery-Oriented Services,30 West Bridge Street Catskill Greene NY US 12414-1620,42.2170302631579,-73.8689938947368
Mental Health Assoc/Columbia-Greene Cos. Inc,MHA Columbia-Greene - C&Y NonMedicaid CC,Children,(518)828-4619,(518)828-4619x202,371 Main Street,Catskill,NY,12414,Greene,Hudson River,Non-Medicaid Care Coordination,Support,Care Coordination,371 Main Street Catskill Greene NY US 12414,42.218576,-73.865378
Mental Health Assoc/Columbia-Greene Cos. Inc,MHA Columbia-Greene - HH CM,Adults,(518)828-4619,(518)828-4619,30 W. Bridge Street,Catskill,NY,12414,Greene,Hudson River,Health Home Care Management,Support,Care Coordination,30 W. Bridge Street Catskill Greene NY US 12414,42.2170302631579,-73.8689938947368
Mental Health Assoc/Columbia-Greene Cos. Inc,MHA Columbia-Greene - HH Non-Med CM,Adults,(518)828-4619,(518)828-4619,30 W. Bridge Street,Catskill,NY,12414,Greene,Hudson River,Health Home Non-Medicaid Care Management,Support,Care Coordination,30 W. Bridge Street Catskill Greene NY US 12414,42.2170302631579,-73.8689938947368
Northeast Parent & Child Society,Columbia-Greene Children's Planned Respite,Children,(518)346-1284,(518)346-1284,455 Main Street,Catskill,NY,12414,Greene,Hudson River,Respite Services,Support,General Support,455 Main Street Catskill Greene NY US 12414,42.2215432,-73.8665446
Hamilton County Community Services,Hamilton County Community Services,Children Adolescents Adults,(518)648-5355,(518)648-5355,143 White Birch Lane,Indian Lake,NY,12842-1409,Hamilton,Central New York,Non-Medicaid Care Coordination,Support,Care Coordination,143 White Birch Lane Indian Lake Hamilton NY US 12842-1409,43.7781434,-74.2601203753816
Hamilton County Community Services,Hamilton County Community Services,Children Adolescents Adults,(518)648-5355,(518)648-5355,83 White Birch Lane,Indian Lake,NY,12842-1409,Hamilton,Central New York,Transportation,Support,General Support,83 White Birch Lane Indian Lake Hamilton NY US 12842-1409,43.7765981826246,-74.2597695545369
Hamilton County Community Services,Hamilton County Community Services,Children Adolescents Adults,(518)648-5355,(518)648-5355,143 White Birch Lane,Indian Lake,NY,12842-1409,Hamilton,Central New York,Advocacy/Support Services,Support,Self-Help,143 White Birch Lane Indian Lake Hamilton NY US 12842-1409,43.7781434,-74.2601203753816
Hamilton County Community Services,Hamilton County Community Services,Children Adolescents Adults,(518)648-5355,(518)648-5355,143 White Birch Lane,Indian Lake,NY,12842-1409,Hamilton,Central New York,Respite Services,Support,General Support,143 White Birch Lane Indian Lake Hamilton NY US 12842-1409,43.7781434,-74.2601203753816
Hamilton County Community Services,Hamilton County Community Services,Children Adolescents Adults,(518)648-5355,(518)648-5355,143 White Birch Lane,Indian Lake,NY,12842-1409,Hamilton,Central New York,Recreation and/or Fitness,Support,General Support,143 White Birch Lane Indian Lake Hamilton NY US 12842-1409,43.7781434,-74.2601203753816
Hamilton County Community Services,Hamilton County Community Services,Children Adolescents Adults,(518)648-5355,(518)648-5355,143 White Birch Lane,Indian Lake,NY,12842-1409,Hamilton,Central New York,Outreach,Support,General Support,143 White Birch Lane Indian Lake Hamilton NY US 12842-1409,43.7781434,-74.2601203753816
